"","solvent","sample","plate","well","control","control2","auc","run","A","mu","lambda","rel_fitness","rel_max_GR","DT","rel_fit_off_plate","strain","rel_fit_to_by"
"257","H2O-2","Cetylpyridinium chloride","S2L1","A08",2,"case",51953.736,"SAM-MIATCS3ISH",0.571,3.15334953127947e-05,77629.9677696851,0.610822285970344,0.694198928130251,6.10591631466716,0.644201413842924,"s6.113",11.6553046274514
"258","H2O-2","Cetylpyridinium chloride","S1L2","A08",2,"case",94118.3255,"SAM-MIATCS3ISH",0.782,3.17251470183027e-05,35950.5443267533,0.733872013968082,0.8793305860994,6.06903045643237,1.20491706958238,"S6.45",21.1145114709002
"259","H2O-2","Chlorpromazine hydrochloride ","S3L2","C09",2,"case",101916.9285,"SAM-MIATCS3ISH",0.953,2.90821285630777e-05,39982.2908769339,1.53396470205025,1.38131255210469,6.62059116722704,1.07320799033326,"W.34.70",0.835761636287568
"260","H2O-2","Chlorpromazine hydrochloride ","S3L1","C09",2,"case",105368.584,"SAM-MIATCS3ISH",0.844,4.00327505355277e-05,23403.2240049243,0.713188903408558,0.826214224242376,4.80958417578628,2.04284197899898,"wlp.644",0.864066661674798
"261","H2O-2","Chlorpromazine hydrochloride ","S2L2","C09",2,"case",112844.01,"SAM-MIATCS3ISH",1.076,2.10202051644268e-05,33638.7721516914,0.975885062743617,1.04910211460479,9.15980039123106,2.30956791083633,"u5.05",0.925368295835668
"262","H2O-2","Chlorpromazine hydrochloride ","S1L2","C09",2,"case",154532.2515,"SAM-MIATCS3ISH",1.153,5.01474403220854e-05,18555.2848207401,1.20493956972627,1.38994401079889,3.83949574000643,1.97834530782581,"S6.45",1.26722939234616
"263","H2O-2","Chlorpromazine hydrochloride ","S1L1","C09",2,"case",76461.857,"SAM-MIATCS3ISH",0.584,2.63288361990649e-05,23670.5568928947,1.09045083549202,1.05685793722314,7.31292800156931,1.0393319973407,"S6.14",0.627019354492282
"264","H2O-2","Chlorpromazine hydrochloride ","S2L1","C09",2,"case",87685.296,"SAM-MIATCS3ISH",0.671,3.37291569237196e-05,23256.5058206495,1.03091975808451,0.742535654576886,5.70844044291756,1.08725562405051,"s6.113",0.719056270061354
"265","H2O-2","Compound 48/80*","S2L2","B08",2,"case",13912.0575,"SAM-MIATCS3ISH",0.15,6.81664376945319e-06,5543.70938851651,0.120312714040207,0.34021339644883,28.2457012572213,0.284736793523288,"u5.05",2.85247338068163
"266","H2O-2","Compound 48/80*","S3L1","B08",2,"case",2267.4755,"SAM-MIATCS3ISH",0.019,1.33259157933329e-06,466.495186783427,0.0153474432697204,0.0275026347983176,144.486042441604,0.0439608653918298,"wlp.644",0.464914230342835
"267","H2O-2","Compound 48/80*","S2L1","B08",2,"case",2058.0785,"SAM-MIATCS3ISH",0.034,3.04234923767531e-06,136999.132755462,0.0241969165427567,0.066976259968718,63.2869103600993,0.0255191865220188,"s6.113",0.421980295625084
"268","H2O-2","Compound 48/80*","S1L2","B08",2,"case",35595.2905,"SAM-MIATCS3ISH",0.257,2.30931490440631e-05,4690.3219364737,0.277548366784468,0.640076223195488,8.33757592442219,0.455696304543727,"S6.45",7.29831792521556
"269","H2O-2","Compound 48/80*","S1L1","B08",2,"case",835.284999999999,"SAM-MIATCS3ISH",0.00699999999999999,1.0850694264983e-06,-57.2000304849964,0.0119123084615111,0.0435554472352112,177.44568115815,0.0113538757945511,"S6.14",0.171263540837338
"270","H2O-2","Compound 48/80*","S3L2","B08",2,"case",44621.1485,"SAM-MIATCS3ISH",0.524,0.000131080633835247,1870.08835847048,0.671598602620195,6.22593096862725,1.46887360745353,0.469870646739975,"W.34.70",9.14894423859964
"271","H2O-2","Copper(II) sulfate","S2L1","H11",2,"case",534.682,"SAM-MIATCS3ISH",0.015,1.06869940468419e-06,10224.1327517657,0.00628627903693385,0.0235270455706248,180.163741689152,0.00662980041235846,"s6.113",0.259708933569202
