run,plate,well,A,mu,lambda
SR1_results_MITACS DRUG RUN 2,S1L1,G12,0.392,2.468821012844421e-5,5266.5249124438
SR1_results_MITACS DRUG RUN 2,S1L1,H01,0.8340000000000001,3.7626200284998576e-5,25391.687128177015
SR1_results_MITACS DRUG RUN 2,S1L1,H02,0.868,6.560442771133509e-5,15474.92585399855
SR1_results_MITACS DRUG RUN 2,S1L1,H03,0.536,1.4451721500168393e-5,27074.993732114228
SR1_results_MITACS DRUG RUN 2,S1L1,H04,0.293,9.265817106210498e-6,6336.433322267396
SR1_results_MITACS DRUG RUN 2,S1L1,H05,0.034000000000000016,1.7020910130906258e-6,24871.721721224058
SR1_results_MITACS DRUG RUN 2,S1L1,H06,0.676,3.492751077314777e-5,25345.36983009985
SR1_results_MITACS DRUG RUN 2,S1L1,H07,0.7240000000000001,3.4582674446075454e-5,28201.414475186884
SR1_results_MITACS DRUG RUN 2,S1L1,H08,0.766,3.669519272703121e-5,25831.880429347813
SR1_results_MITACS DRUG RUN 2,S1L1,H09,0.616,1.6003804076451247e-5,29673.20986715496
SR1_results_MITACS DRUG RUN 2,S1L1,H10,0.07600000000000001,1.1462908287079676e-5,-0
SR1_results_MITACS DRUG RUN 2,S1L1,H11,0.117,1.5786883514594303e-6,36530.125510078615
SR1_results_MITACS DRUG RUN 2,S1L1,H12,0.398,2.5286088090945893e-5,26860.541831493763
SR1_results_MITACS DRUG RUN 2,S1L2,A01,0.972,7.542426967189868e-5,14167.475220568105
SR1_results_MITACS DRUG RUN 2,S1L2,A02,0.36,1.6194879371946864e-5,14081.9733255471
SR1_results_MITACS DRUG RUN 2,S1L2,A03,1.071,2.9637687957521047e-5,69470.31115703791
SR1_results_MITACS DRUG RUN 2,S1L2,A04,1.48,4.381577871036407e-5,12486.698348554182
SR1_results_MITACS DRUG RUN 2,S1L2,A05,1.002,4.100356320343771e-5,22194.546101973436
SR1_results_MITACS DRUG RUN 2,S1L2,A06,0.876,2.3222462089017853e-5,38443.2981895335
SR1_results_MITACS DRUG RUN 2,S1L2,A07,1.038,4.181569205098042e-5,22449.661753400575
SR1_results_MITACS DRUG RUN 2,S1L2,A08,0.318,1.8099667874407163e-5,13694.534536862111
SR1_results_MITACS DRUG RUN 2,S1L2,A09,0.994,4.0225196674666965e-5,23138.65349268225
SR1_results_MITACS DRUG RUN 2,S1L2,A10,1.6729999999999998,6.194355526160782e-5,15994.22356906189
SR1_results_MITACS DRUG RUN 2,S1L2,A11,0.9740000000000001,6.900026893223992e-5,14210.500492243911
SR1_results_MITACS DRUG RUN 2,S1L2,A12,0.867,3.261697138130857e-5,16071.400559981159
SR1_results_MITACS DRUG RUN 2,S1L2,B01,0.561,1.6509604553465134e-5,36596.69206490545
SR1_results_MITACS DRUG RUN 2,S1L2,B02,0.8380000000000001,2.237411908621724e-5,19346.316913361912
SR1_results_MITACS DRUG RUN 2,S1L2,B03,0.8500000000000001,2.117016540146783e-5,17932.18574950289
SR1_results_MITACS DRUG RUN 2,S1L2,B04,0.8540000000000001,2.2023238919638674e-5,18722.618871441715
SR1_results_MITACS DRUG RUN 2,S1L2,B05,0.951,1.7963254059611284e-5,38694.35003054473
SR1_results_MITACS DRUG RUN 2,S1L2,B06,0.8410000000000001,2.1791950849607386e-5,12451.261205982408
SR1_results_MITACS DRUG RUN 2,S1L2,B07,0.961,1.8935410496523205e-5,36153.90151160607
SR1_results_MITACS DRUG RUN 2,S1L2,B08,0.289,1.836398334384861e-5,12704.921586849396
SR1_results_MITACS DRUG RUN 2,S1L2,B09,0.854,1.9475077351315012e-5,12721.44737375533
SR1_results_MITACS DRUG RUN 2,S1L2,B10,0.806,2.4397045504004025e-5,16466.428788088906
SR1_results_MITACS DRUG RUN 2,S1L2,B11,0.8280000000000001,8.465788308723989e-5,14097.500987577452
SR1_results_MITACS DRUG RUN 2,S1L2,B12,0.453,1.0828667572281595e-5,14617.990821735651
SR1_results_MITACS DRUG RUN 2,S1L2,C01,0.9199999999999999,4.399291233607168e-5,21537.12578486612
SR1_results_MITACS DRUG RUN 2,S1L2,C02,1.002,4.1762679052536183e-005,19899.705180308414
SR1_results_MITACS DRUG RUN 2,S1L2,C03,0.9440000000000001,3.989949973007741e-5,18182.829412681727
SR1_results_MITACS DRUG RUN 2,S1L2,C04,0.9380000000000001,3.02399881842421e-5,20261.393142894416
SR1_results_MITACS DRUG RUN 2,S1L2,C05,0.9430000000000001,3.742410226765535e-5,17335.509069138596
SR1_results_MITACS DRUG RUN 2,S1L2,C06,0.41600000000000004,1.5731080042224194e-5,13187.925713728926
SR1_results_MITACS DRUG RUN 2,S1L2,C07,1.0979999999999999,7.476376620929888e-5,30206.424867645477
SR1_results_MITACS DRUG RUN 2,S1L2,C08,1.075,4.0795095057403536e-5,20857.43792271169
SR1_results_MITACS DRUG RUN 2,S1L2,C09,0.9530000000000001,3.858308504041349e-5,17452.659936456403
