"","plate","well","run","A","mu","lambda","solvent","control2","strain"
"124","S1L2","A10","Result_96_2020-01-13_mitacs_control",3.32192809488736,0.000192980908253594,14171.6534297275,"H2O","case","S6.45"
"125","S1L2","G06","Result_96_2020-01-13_mitacs_control",3.95487062451034,0.000244835400283843,6874.95491129213,"H2O","case","S6.45"
"126","S1L2","D08","Result_96_2020-01-13_mitacs_control",4.11185387091706,0.000208977888062708,16200.8666435061,"DMSO","case","S6.45"
"127","S1L2","C12","Result_96_2020-01-13_mitacs_control",3.56004486851683,0.000254978764059759,15799.1952744569,"H2O","case","S6.45"
"128","S1L2","H08","Result_96_2020-01-13_mitacs_control",4.02729169166774,0.000174280517644939,10789.3444952165,"DMSO","case","S6.45"
"129","S1L2","E10","Result_96_2020-01-13_mitacs_control",3.95487062451034,0.000222651089308073,7094.16883829364,"H2O","case","S6.45"
"130","S1L2","A07","Result_96_2020-01-13_mitacs_control",3.39539025682838,0.000202081060525749,15196.5013363557,"H2O","H2O","S6.45"
"131","S1L2","G09","Result_96_2020-01-13_mitacs_control",3.99726503227876,0.000247577051370814,6826.75220897387,"H2O","case","S6.45"
"132","S1L2","H11","Result_96_2020-01-13_mitacs_control",3.86148013591857,0.000186737917243897,7475.20765273659,"H2O","case","S6.45"
"133","S1L2","A01","Result_96_2020-01-13_mitacs_control",3.95354068890734,0.000292913474065055,17742.5797936125,"H2O","H2O","S6.45"
"134","S1L2","B01","Result_96_2020-01-13_mitacs_control",3.54133460014814,0.00015363017524375,17880.0539849457,"DMSO","DMSO","S6.45"
"135","S1L2","G10","Result_96_2020-01-13_mitacs_control",3.8972404255748,0.000224478254961649,6858.13731960825,"H2O","case","S6.45"
"136","S1L2","E07","Result_96_2020-01-13_mitacs_control",4.03536515355733,0.000196334684247611,22783.5592758274,"ETOH","case","S6.45"
"137","S1L2","G03","Result_96_2020-01-13_mitacs_control",3.84634905367347,0.000244793978074264,6484.00435174975,"H2O","case","S6.45"
"138","S1L2","F07","Result_96_2020-01-13_mitacs_control",4.04560799830334,0.000167285633541528,13718.5087067203,"DMSO","case","S6.45"
"139","S1L2","A02","Result_96_2020-01-13_mitacs_control",3.95056417746677,0.000233242179212978,6324.28714672698,"H2O","case","S6.45"
"140","S1L2","C07","Result_96_2020-01-13_mitacs_control",4.34820741968621,0.000164576249681857,7796.44447755413,"ETOH","ETOH","S6.45"
"141","S1L2","D11","Result_96_2020-01-13_mitacs_control",4.02004703456954,0.000218501057327434,6671.76550627839,"H2O","case","S6.45"
"142","S1L2","H03","Result_96_2020-01-13_mitacs_control",3.88054560042314,0.000285297111162769,5798.39432414138,"H2O","case","S6.45"
"143","S1L2","B04","Result_96_2020-01-13_mitacs_control",3.95145614804196,0.000242007788076559,6063.80051828694,"H2O","case","S6.45"
"144","S1L2","A09","Result_96_2020-01-13_mitacs_control",3.28279478088358,0.000172973075636501,14156.7855024317,"H2O","case","S6.45"
"145","S1L2","G07","Result_96_2020-01-13_mitacs_control",4.56781421889075,0.000245952584877072,7516.9569974936,"ETOH","case","S6.45"
"146","S1L2","D05","Result_96_2020-01-13_mitacs_control",4.01655117626385,0.000194070644364875,6943.98441055179,"H2O","case","S6.45"
"147","S1L2","H09","Result_96_2020-01-13_mitacs_control",3.76838185952645,0.00023537223159572,6573.64566052414,"H2O","case","S6.45"
"148","S1L2","E02","Result_96_2020-01-13_mitacs_control",4.13734924286372,0.000153515358676845,11540.9858424706,"DMSO","case","S6.45"
