"","well","compound","strain","run","plate","A","mu","lambda","DT","auc"
"84","G12","DMSO","U5-05","saved-2019-08-27_SR1_results","S1L1",0.385,2.58494185827903e-05,56027.0480145089,7.44855760961143,38905.594
"85","H01","H2O","CONTROL","saved-2019-08-27_SR1_results","S1L1",0.00600000000000001,4.78998712041726e-07,130819.558571447,401.965346980101,345.6235
"86","H02","H2O","CONTROL","saved-2019-08-27_SR1_results","S1L1",0.003,3.63529108830281e-07,132163.377292439,529.643648368099,165.578
"87","H03","H2O","CONTROL","saved-2019-08-27_SR1_results","S1L1",0.002,1.06432440993958e-07,160164,1809.04319858458,175.4615
"88","H04","H2O","CONTROL","saved-2019-08-27_SR1_results","S1L1",0.002,6.39678705600755e-08,140598.303917125,3009.96237334567,41.822
"89","H05","ETOH","CONTROL","saved-2019-08-27_SR1_results","S1L1",0.002,9.85354336697423e-08,145511.366531235,1954.02685428073,133.638
"90","H06","ETOH","CONTROL","saved-2019-08-27_SR1_results","S1L1",0.001,6.39798100077686e-10,146663,300940.067601787,68.8060000000001
"91","H07","ETOH","CONTROL","saved-2019-08-27_SR1_results","S1L1",0.004,2.97744675618712e-07,448.835382886314,646.664404959635,326.6235
"92","H08","ETOH","CONTROL","saved-2019-08-27_SR1_results","S1L1",0.013,1.69139596691821e-06,-2364.91045162426,113.835486931952,772.023
"93","H09","DMSO","CONTROL","saved-2019-08-27_SR1_results","S1L1",0.002,1.75186670031997e-07,51263,1099.06126678307,175.9065
"94","H10","DMSO","CONTROL","saved-2019-08-27_SR1_results","S1L1",0.003,9.1925417814463e-07,153484.323187699,209.453367813337,76.9295000000001
"95","H11","DMSO","CONTROL","saved-2019-08-27_SR1_results","S1L1",0.002,2.48201488081963e-07,160203.03058388,775.744275253063,166.008
"96","H12","DMSO","CONTROL","saved-2019-08-27_SR1_results","S1L1",0.00600000000000001,1.70196115386504e-06,20108.7700955652,113.128835550462,835.238500000001
